1,23,4589891037934257,1500,false,Charles Elizabeth,1982-12-13 09:00:00.000,nunezpaul@yahoo.com,495-852-3313,1,23,7
2,27,3503456321124646,5000,true,Brandi Victoria,1979-01-16 09:00:00.000,fnguyen@mccoy.com,3443146806,2,27,7
3,10,30261510131677,4000,true,Kimberly Crystal,1972-07-07 10:00:00.000,michaelmerritt@stone.info,(022)142-8414,2,10,3
4,3,4396988905525,1000,false,Antonio Edward,1996-05-02 10:00:00.000,alexandramerritt@hotmail.com,680.716.6600x197,2,3,7
5,185,30066310899856,2000,true,Monica Darren,1970-11-13 09:00:00.000,taylorrichard@rosario.biz,2207577718,2,185,5
6,91,2279682769255618,2000,false,Matthew Christy,1996-09-15 10:00:00.000,kristinherrera@yahoo.com,239.886.6877,2,91,2
7,187,2272960848465094,1000,false,Louis Shawn,1990-05-08 10:00:00.000,chaneychristopher@hotmail.com,+1-739-028-4291x81189,2,187,8
8,78,4559876886937879,2000,false,Scott Melanie,1994-05-02 10:00:00.000,tamara33@garcia.biz,+1-866-690-5974,2,78,7
9,1,6011661168013392,5000,true,Anna Philip,1964-06-06 10:00:00.000,sandra15@garza.com,137.424.7249,2,1,6
10,120,3594179178468201,5000,true,Rebecca Douglas,1991-07-04 10:00:00.000,lisa43@abbott.biz,723-564-0118x445,2,120,8
11,117,4075277877679668,2000,true,Regina Joshua,1972-12-13 09:00:00.000,smithshelley@taylor-pacheco.info,247.401.5147,2,117,4
12,35,4152680625705766,2000,false,Terry Laurie,1969-07-10 10:00:00.000,vanessa37@willis.org,202-253-3056x23394,2,35,3
13,142,3571697163779255,4000,false,Jeffery Victor,1966-07-09 10:00:00.000,elizabeth09@mcdonald.com,6791987892,2,142,7
14,22,630408450173,1000,false,Martin Anthony,1967-12-20 09:00:00.000,pamela00@gmail.com,823-358-3707,2,22,4
15,183,4541518174353267,2000,true,Amy Jeffrey,1984-01-25 09:00:00.000,tyler33@hebert.com,326.211.5999x2894,2,183,2
16,174,340867500160503,2000,true,Lisa Erika,1995-10-01 10:00:00.000,rchang@calderon.org,001-078-291-4793,2,174,2
17,122,4053121101395913,1000,false,Timothy Shannon,1986-05-20 10:00:00.000,robertolarson@gmail.com,001-844-452-7667,2,122,8
18,171,4583771720068,1500,false,Spencer Steven,1972-02-06 09:00:00.000,cummingsjames@yahoo.com,841.123.4932,2,171,1
19,19,346990460231421,5000,true,Valerie Ariana,1993-07-21 10:00:00.000,laurabarrera@hotmail.com,+1-901-331-0325x442,2,19,8
20,81,6011401788837312,2000,true,Cassandra Johnny,1989-08-02 10:00:00.000,boydnicole@hotmail.com,(409)737-9421,2,81,5
21,162,2714722310768140,2000,true,Suzanne Ronald,1967-08-26 10:00:00.000,veronica08@hotmail.com,(618)255-0389x110,2,162,8
22,79,4966650302325709211,1000,false,Brandon Jasmine,1982-01-31 09:00:00.000,bradley16@gmail.com,+1-985-456-5677x261,2,79,1
23,52,4258814512978995,1500,true,Susan Lisa,1996-09-03 10:00:00.000,thomascollins@ortega.com,001-093-307-5144x0537,2,52,2
24,89,4668231637109,5000,true,Ashley Luis,1968-01-31 09:00:00.000,smithjennifer@lee.com,(884)357-3177x1490,2,89,7
